Quote Date,Solicitation #,Quote #,UPC Code,NSN,MFR NAME,MFR Address,City,State / Province,Country,Zip Code,"Product Type D - Domestic End Products | Q - Qualifying Country End Products | NQ - Non-Qualifying Country End Products | O - Other Foreign End Products | N - Free Trade Agreement Country End Products | C - Canadian End Products | DE - Designated Country End Product | ND - Non-Designated Country End Products",MFR Part Number,MFR Cage Code,SKU,Product Title,Product Description,*Quantity,Unit of Measure,WeightUnit,Vendor Wholesale Unit Price,Vendor Wholesale Total Price,Vendor Wholesale FAT UNIT PRICE,Total FAT COGS,Sub - Total FAT Contract Price,Total Quoted Unit Price,Sub - Total Contract Price,Grand Total Contract Price,Contract Profit
1/11/22 0:00,SPE7M522Q0511,Glenair Quote #: JC2-22045170,N/A,5935-01-544-9573,GLENAIR,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,941-005NFF35SN-98,6324,5935015449573,ADAPTER;CONNECTOR,ADAPTER;CONNECTOR,44,EACH,5 Pound,"1,064.39","46,833.16",0,0,0,"1,125.81","49,535.64","49,535.64","2,702.48"
1/22/22 0:00,SPE2DS22T3146,Zoro - 304340,N/A,6515-01-430-6980,3M Company,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,321-2100,69892,6515014306980,PLUG;EAR,PLUG;EAR,5,PACK of 400 EACH,5 POUNDS,231.6,"1,158.00",0,0,0,249.6,"1,248.00","1,248.00",90
1/25/22 0:00,SPE2DH22T1283,D3651,N/A,6530-01-458-8321,OM HALYARD HEALTH,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,34151,9C381,6530014588321,WRAPPER; STERILIZATION,WRAPPER; STERILIZATION,4,PACKAGE ,26.75,265.99,"1,063.96",0,0,0,286.66,"1,146.64","1,146.64",82.68
1/25/22 0:00,SPE2DS22T3133,MEDICAL WORLD,N/A,6515-01-253-8133,WELCH ALLYN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,35303,05CJ3,6515012538133,PROCTOSIGMOIDOSCOPE,PROCTOSIGMOIDOSCOPE,2,SET,4KG,"2,827.20","5,654.40",0,0,0,"2,974.50","5,949.00","5,949.00",294.6
1/25/22 0:00,SPE8E722T1042,JON CARLOS,N/A,6230-01-520-3474,WELCH ALLYN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,49020M,05CJ3,6230015203474,LIGHT; HEAD GENERAL,LIGHT; HEAD GENERAL,4,EACH,8.15KG,"1,285.90","5,143.60",0,0,0,"1,352.90","5,411.60","5,411.60",268
1/25/22 0:00,SPE7M122T7999,NANCY TALARICO,N/A,5998-01-643-7125,HOSHIZAKI AMERICA INC,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,4A5591-01,0AAU8,5998016437125,CIRCUIT CARD ASSEM,CIRCUIT CARD ASSEM,1,EACH,5,229.62,229.62,0,0,0,241.58,241.58,241.58,11.96
1/26/22 0:00,SPE2DS22T3048,Q47234,N/A,6515-01-500-1519,O&M HALYARD,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,46827,832U8,6515015001519,MASK; RESPIRATOR,MASK; RESPIRATOR,200,PACKAGE (35 EACH/6 PACK),5,96.15,"19,230.00",0,0,0,103.08,"20,616.00","20,616.00","1,386.00"
1/26/22 0:00,SPE2DS22T2912,MEDICAL WORLD - JON CARLOS,N/A,6515-01-446-8319,WELCH ALLYN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,008-0132-00,05CJ3,6515014468319,ADAPTER; AIRWAY; CO2,ADAPTER; AIRWAY; CO2,4,PACKAGE,1,188.06,752.24,0,0,0,216.66,866.64,866.64,114.4
1/28/22 0:00,SPE7M522T7570,4715773,N/A,6060-01-484-2961,GREENLEE TOOLS INC,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,455616-126-04,0XY53,6060014842961,CONTACT; FIBER OPTIC,CONTACT; FIBER OPTIC,60,EACH,5,100.68,"6,040.80",0,0,0,107.94,"6,476.40","6,476.40",435.6
1/28/22 0:00,SPE8EE22T0696,305311,N/A,3950-01-233-2393,DUTTON LAINSON COMPANY,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,DLB800A,72031,3950012332393,WINCH; DRUM,WINCH; DRUM,61,EACH,15,61.85,"3,772.85",0,0,0,68.47,"4,176.67","4,176.67",403.82
1/28/22 0:00,SPE7MX22U0030,305316,N/A,4730-01-138-8990,DIXION VALVE,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,HSS128,72661,4730011388990,CLAMP; HOSE,CLAMP; HOSE,176,EACH,3,3.84,675.84,0,0,0,5.02,883.52,883.52,207.68
1/31/22 0:00,SPE8E522T1375,305327,N/A,4240-01-452-8678,3M COMPANY,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,5P71,76381,4240014528678,FILTER; RESPIRATOR,FILTER; RESPIRATOR,56,BOX (100 EACH),2,216.9,"12,146.40",0,0,0,232.54,"13,022.24","13,022.24",875.84
1/31/22 0:00,SPE4A622T708Z,1418755,N/A,5310-00-596-8128,PENN ENGINEERING MANUFA,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,CLA-632-2,46384,5310005968128,NUT; PLAIN CLINCH,NUT; PLAIN CLINCH,216,EACH,0.5,0.11,23.76,0,0,0,1,216,216,192.24
2/8/22 0:00,SPE4A622U0102,THEDA DOWLER - ELECTRO LINE INC.,N/A,4030-00-104-9084,ELECTRO LINE INC,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,803-5184178,7232,4030001049084,SOCKET; WIRE ROPE,SOCKET; WIRE ROPE,140,EACH,1.7,109.24,"15,293.60",0,0,0,120.16,"16,822.40","16,822.40","1,528.80"
1/31/22 0:00,SPE8E922T1221,KROLL - 01/28/2022,N/A,6760-01-503-9105,PELICAN,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,1060 CLEAR BLACK,65442,6760015039105,CASE;PHOTOGRAPHIC EQUIPMENT,CASE;PHOTOGRAPHIC EQUIPMENT,7,EACH,1 Pound,24.25,169.75,0,0,0,27.35,191.45,191.45,21.7
2/2/22 0:00,SPE8E922T1386,Toni Sarbach <Toni.Sarbach@R3Safety.com>,N/A,6760-01-491-2137,PELICAN PRODUCTS,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,1490 BLACK COLOR,65442,6760014912137,CASE;PHOTOGRAPHIC E,CASE;PHOTOGRAPHIC E,5,EACH,5 Pounds,151.42,757.1,0,0,0,175.3,876.5,876.5,119.4
2/2/22 0:00,SPE8EN22T1131,Toni Sarbach <Toni.Sarbach@R3Safety.com>,N/A,6760-01-491-2817,PELICAN PRODUCTS,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,1620NF BLACK,65442,6760014912817,CASE;PHOTOGRAPHIC E,CASE;PHOTOGRAPHIC E,40,EACH,5 Pounds,221.54,"8,861.60",0,0,0,243.18,"9,727.20","9,727.20",865.6
2/2/22 0:00,SPE4A622T579B,chrisl@centralrestaurant.com Quotation# 11972505,N/A,6685-01-616-3313,BLODGETT CORP,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,53007,7695,6685016163313,THERMOCOUPLE;HEATING,THERMOCOUPLE;HEATING,218,EACH,5 Pounds,124,"27,032.00",0,0,0,133.63,"29,131.34","29,131.34","2,099.34"
2/2/22 0:00,SPE7M122T8631,Alexandria D. (KitchenRestock.com),N/A,5950-01-510-5435,BLODGETT CORP,2222 CHEROKEE STREET - 1ST FLOOR,ST. LOUIS,MISSOURI,UNITED STATES,63118,D,R2051,1FVT3,5950015105435,TRANSFORMER;POWER,TRANSFORMER;POWER,3,EACH,20 Pounds,614.38,"1,843.14",0,0,0,711.27,"2,133.81","2,133.81",290.67
